,Date,Day,Season,Team,Opp,Site,P1,P2,P3,Final,Line,Total,SUm,SUr,OUr,ot
162,2021-01-24 00:00:00,Sunday,2020,Penguins,Rangers,home,0-1,1-1,2-0,3-2,-135,6.5,1.0,W,U,0.0
163,2021-01-24 00:00:00,Sunday,2020,Rangers,Penguins,away,1-0,1-1,0-2,2-3,122,6.5,-1.0,L,U,0.0
164,2021-01-24 00:00:00,Sunday,2020,Ducks,Avalanche,home,1-0,1-0,1-1,3-1,170,5.5,2.0,W,U,0.0
165,2021-01-24 00:00:00,Sunday,2020,Avalanche,Ducks,away,0-1,0-1,1-1,1-3,-189,5.5,-2.0,L,U,0.0
166,2021-01-25 00:00:00,Monday,2020,Canucks,Senators,home,2-0,2-1,3-0,7-1,-145,6.5,6.0,W,O,0.0
167,2021-01-25 00:00:00,Monday,2020,Senators,Canucks,away,0-2,1-2,0-3,1-7,131,6.5,-6.0,L,O,0.0
168,2021-01-26 00:00:00,Tuesday,2020,Stars,Red Wings,home,0-1,1-0,0-0,2-1,-222,5.5,1.0,W,U,1.0
169,2021-01-26 00:00:00,Tuesday,2020,Red Wings,Stars,away,1-0,0-1,0-0,1-2,198,5.5,-1.0,L,U,1.0
170,2021-01-26 00:00:00,Tuesday,2020,Flames,Maple Leafs,home,0-2,2-1,1-1,3-4,-105,6.0,-1.0,L,O,0.0
171,2021-01-26 00:00:00,Tuesday,2020,Maple Leafs,Flames,away,2-0,1-2,1-1,4-3,-115,6.0,1.0,W,O,0.0
172,2021-01-26 00:00:00,Tuesday,2020,Avalanche,Sharks,home,3-1,4-1,0-1,7-3,-210,6.0,4.0,W,O,0.0
173,2021-01-26 00:00:00,Tuesday,2020,Sharks,Avalanche,away,1-3,1-4,1-0,3-7,188,6.0,-4.0,L,O,0.0
174,2021-01-26 00:00:00,Tuesday,2020,Coyotes,Ducks,home,0-1,0-0,0-0,0-1,-135,5.5,-1.0,L,U,0.0
175,2021-01-26 00:00:00,Tuesday,2020,Ducks,Coyotes,away,1-0,0-0,0-0,1-0,115,5.5,1.0,W,U,0.0
176,2021-01-26 00:00:00,Tuesday,2020,Bruins,Penguins,home,1-0,1-0,0-2,3-2,-135,5.5,1.0,W,U,1.0
177,2021-01-26 00:00:00,Tuesday,2020,Penguins,Bruins,away,0-1,0-1,2-0,2-3,122,5.5,-1.0,L,U,1.0
178,2021-01-26 00:00:00,Tuesday,2020,Sabres,Rangers,home,1-2,2-0,0-0,3-2,-110,6.0,1.0,W,U,0.0
179,2021-01-26 00:00:00,Tuesday,2020,Rangers,Sabres,away,2-1,0-2,0-0,2-3,100,6.0,-1.0,L,U,0.0
180,2021-01-26 00:00:00,Tuesday,2020,Devils,Flyers,home,0-1,2-1,1-3,3-5,130,5.5,-2.0,L,O,0.0
181,2021-01-26 00:00:00,Tuesday,2020,Flyers,Devils,away,1-0,1-2,3-1,5-3,-145,5.5,2.0,W,O,0.0
182,2021-01-26 00:00:00,Tuesday,2020,Capitals,Islanders,home,1-1,1-1,1-0,3-2,110,5.5,1.0,W,U,0.0
183,2021-01-26 00:00:00,Tuesday,2020,Islanders,Capitals,away,1-1,1-1,0-1,2-3,-121,5.5,-1.0,L,U,0.0
184,2021-01-26 00:00:00,Tuesday,2020,Blue Jackets,Panthers,home,2-1,0-1,1-1,3-4,-115,5.5,-1.0,L,O,1.0
185,2021-01-26 00:00:00,Tuesday,2020,Panthers,Blue Jackets,away,1-2,1-0,1-1,4-3,-105,5.5,1.0,W,O,1.0
186,2021-01-26 00:00:00,Tuesday,2020,Knights,Blues,home,1-3,1-1,2-0,4-5,-149,6.0,-1.0,L,O,1.0
187,2021-01-26 00:00:00,Tuesday,2020,Blues,Knights,away,3-1,1-1,0-2,5-4,130,6.0,1.0,W,O,1.0
188,2021-01-27 00:00:00,Wednesday,2020,Predators,Blackhawks,home,0-0,0-0,1-1,2-1,-175,6.0,1.0,W,U,1.0
189,2021-01-27 00:00:00,Wednesday,2020,Blackhawks,Predators,away,0-0,0-0,1-1,1-2,158,6.0,-1.0,L,U,1.0
190,2021-01-27 00:00:00,Wednesday,2020,Canucks,Senators,home,1-1,3-0,1-0,5-1,-155,6.5,4.0,W,U,0.0
191,2021-01-27 00:00:00,Wednesday,2020,Senators,Canucks,away,1-1,0-3,0-1,1-5,140,6.5,-4.0,L,U,0.0
192,2021-01-28 00:00:00,Thursday,2020,Avalanche,Sharks,home,0-0,0-0,3-0,3-0,-230,6.0,3.0,W,U,0.0
193,2021-01-28 00:00:00,Thursday,2020,Sharks,Avalanche,away,0-0,0-0,0-3,0-3,198,6.0,-3.0,L,U,0.0
194,2021-01-28 00:00:00,Thursday,2020,Coyotes,Ducks,home,0-1,1-0,2-1,3-2,-125,5.0,1.0,W,P,0.0
